School.Number,School Name,Address,Longitude,Latitude,GradeBand,GradesServed
4,Steuart Hill Academic Academy,"30 S Gilmor St, Baltimore, MD, 21223",-76.642356,39.28708,E,PK - 5
5,Langston Hughes Elementary,"5011 Arbutus Ave, Baltimore, MD, 21215",-76.679991,39.342083,E,PK - 5
7,Cecil Elementary,"2000 Cecil Ave, Baltimore, MD, 21218",-76.605442,39.3127,E,PK - 5
8,City Springs Elementary/Middle,"100 S Caroline St, Baltimore, MD, 21231",-76.597124,39.290253,EM,PK - 8
10,James McHenry Elementary/Middle,"31 S Schroeder St, Baltimore, MD, 21223",-76.633671,39.287579,EM,PK - 8
11,Eutaw-Marshburn Elementary,"1624 Eutaw Pl, Baltimore, MD, 21217",-76.629226,39.305966,E,PK - 5
12,Lakeland Elementary/Middle,"2921 Stranden Rd, Baltimore, MD, 21230",-76.644967,39.254289,EM,PK - 8
13,Tench Tilghman Elementary/Middle,"600 N Patterson Park Ave, Baltimore, MD, 21205",-76.585124,39.297704,EM,PK - 8
15,Stadium School,"1300 Gorsuch Ave, Baltimore, MD, 21218",-76.600378,39.325025,M,6 - 8
16,Johnston Square Elementary,"1101 Valley St, Baltimore, MD, 21202",-76.604959,39.302894,E,PK - 5
21,Hilton Elementary,"3301 Carlisle Ave, Baltimore, MD, 21216",-76.673068,39.319556,E,PK - 5
22,George Washington Elementary,"800 Scott St, Baltimore, MD, 21230",-76.628561,39.281189,E,PK - 5
23,Wolfe Street Academy,"245 S Wolfe St, Baltimore, MD, 21231",-76.590012,39.288712,E,PK - 5
24,Westside Elementary,"2235 N Fulton Ave, Baltimore, MD, 21217",-76.645157,39.314233,E,PK - 5
25,Dr. Rayner Browne Elementary/Middle,"1000 N Montford Ave, Baltimore, MD, 21213",-76.583923,39.302439,EM,PK - 8
27,Commodore John Rodgers Elementary/Middle,"100 N Chester St, Baltimore, MD, 21231",-76.587471,39.292928,EM,PK - 8
28,William Pinderhughes Elementary/Middle,"701 Gold St, Baltimore, MD, 21217",-76.640507,39.306549,EM,PK - 8
29,Matthew A. Henson Elementary,"1600 N Payson St, Baltimore, MD, 21217",-76.649861,39.306762,E,PK - 5
31,Coldstream Park Elementary/Middle,"1400 Exeter Hall Ave, Baltimore, MD, 21218",-76.601702,39.320357,EM,PK - 8
34,Charles Carroll Barrister Elementary,"1327 Washington Blvd, Baltimore, MD, 21230",-76.635339,39.28025,E,PK - 5
35,Harlem Park Elementary/Middle,"1401 W Lafayette Ave, Baltimore, MD, 21217",-76.640263,39.298801,EM,PK - 8
